u,v,rho,pval
TCGA-02-0021-01,TCGA-02-0070-01,0.6860148128600352,0.0
TCGA-02-0021-01,TCGA-02-0071-01,0.7149975275562948,0.0
TCGA-02-0021-01,TCGA-02-0085-01,0.6100897853233493,0.0
TCGA-02-0021-01,TCGA-02-0089-01,0.7059752068018859,0.0
TCGA-02-0021-01,TCGA-02-0102-01,0.7084591521227732,0.0
TCGA-02-0021-01,TCGA-02-0111-01,0.7058802748419406,0.0
TCGA-02-0021-01,TCGA-02-0116-01,0.8701990540189912,0.0
TCGA-02-0021-01,TCGA-02-0260-01,0.6986919750436833,0.0
TCGA-02-0021-01,TCGA-02-0285-01,0.8313798344189808,0.0
TCGA-02-0021-01,TCGA-02-0289-01,0.8354396522216534,0.0
TCGA-02-0021-01,TCGA-02-0290-01,0.7797821814640313,0.0
TCGA-02-0021-01,TCGA-02-0317-01,0.6035730210520927,0.0
TCGA-02-0021-01,TCGA-02-0430-01,0.7553364774836312,0.0
TCGA-02-0021-01,TCGA-02-2485-01,0.7314534500343275,0.0
TCGA-02-0021-01,TCGA-06-0119-01,0.8678057543030594,0.0
TCGA-02-0021-01,TCGA-06-0121-01,0.6335176476825949,0.0
TCGA-02-0021-01,TCGA-06-0122-01,0.7373271501203407,0.0
TCGA-02-0021-01,TCGA-06-0124-01,0.6631614817733171,0.0
TCGA-02-0021-01,TCGA-06-0125-01,0.8813556060804755,0.0
TCGA-02-0021-01,TCGA-06-0126-01,0.8804662490602784,0.0
TCGA-02-0021-01,TCGA-06-0127-01,0.669588765541447,0.0
TCGA-02-0021-01,TCGA-06-0137-01,0.8821945346982442,0.0
TCGA-02-0021-01,TCGA-06-0145-01,0.7575701020397642,0.0
TCGA-02-0021-01,TCGA-06-0147-01,0.6836561156651136,0.0
TCGA-02-0021-01,TCGA-06-0148-01,0.7837755499014245,0.0
TCGA-02-0021-01,TCGA-06-0150-01,0.8924877609602426,0.0
TCGA-02-0021-01,TCGA-06-0154-01,0.7306742893461561,0.0
TCGA-02-0021-01,TCGA-06-0155-01,0.8337986164155662,0.0
TCGA-02-0021-01,TCGA-06-0157-01,0.8265996908790617,0.0
TCGA-02-0021-01,TCGA-06-0158-01,0.628481520481373,0.0
TCGA-02-0021-01,TCGA-06-0164-01,0.6521225559942043,0.0
TCGA-02-0021-01,TCGA-06-0169-01,0.6856244873414543,0.0
TCGA-02-0021-01,TCGA-06-0173-01,0.7079116855242279,0.0
TCGA-02-0021-01,TCGA-06-0174-01,0.7061613679579688,0.0
TCGA-02-0021-01,TCGA-06-0179-01,0.9210147775023081,0.0
TCGA-02-0021-01,TCGA-06-0185-01,0.7314694948242908,0.0
TCGA-02-0021-01,TCGA-06-0190-01,0.6245807234289992,0.0
TCGA-02-0021-01,TCGA-06-0201-01,0.808135150794938,0.0
TCGA-02-0021-01,TCGA-06-0206-01,0.6407273592019191,0.0
TCGA-02-0021-01,TCGA-06-0208-01,0.7375236044189912,0.0
TCGA-02-0021-01,TCGA-06-0211-01,0.7169896631963194,0.0
TCGA-02-0021-01,TCGA-06-0402-01,0.6802610563883423,0.0
TCGA-02-0021-01,TCGA-06-0650-01,0.8399527132008086,0.0
TCGA-02-0021-01,TCGA-06-0747-01,0.6509627120290805,0.0
TCGA-02-0021-01,TCGA-06-0877-01,0.7000729217933929,0.0
TCGA-02-0021-01,TCGA-06-0879-01,0.7249590899748719,0.0
TCGA-02-0021-01,TCGA-06-1802-01,0.68593722125457,0.0
TCGA-02-0021-01,TCGA-06-2563-01,0.7802242775348426,0.0
TCGA-02-0021-01,TCGA-06-2565-01,0.6739882317672146,0.0
TCGA-02-0021-01,TCGA-06-5414-01,0.8594274666255627,0.0
TCGA-02-0021-01,TCGA-06-5415-01,0.6111377442950984,0.0
TCGA-02-0021-01,TCGA-06-6388-01,0.8710032537009191,0.0
TCGA-02-0021-01,TCGA-06-6695-01,0.8768651299730698,0.0
TCGA-02-0021-01,TCGA-06-6699-01,0.6525698370774583,0.0
TCGA-02-0021-01,TCGA-08-0347-01,0.7604132462609822,0.0
TCGA-02-0021-01,TCGA-08-0352-01,0.8780945563021173,0.0
TCGA-02-0021-01,TCGA-08-0355-01,0.7203155297760119,0.0
TCGA-02-0021-01,TCGA-08-0356-01,0.9121924125443494,0.0
TCGA-02-0021-01,TCGA-08-0357-01,0.765306676070662,0.0
